rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
5978,0xb2f001f09896521257b9fbc82366c2859d501277,26865.26,14785.98,31,False
5979,0xe7387473b067235436884d16799777cf279edf65,26850.71,22325.43,269,False
5980,0x43ab88a67aa8359583efbb7281fd5ae57cf05602,26849.53,20808.07,69,False
5981,0xd48c7337a8fb21bf9d3269c2d2ca039dbfa59e7d,26848.58,13283.04,26,False
5982,0xe11a2117e97e722eff94eab8f1ed3763853253eb,26848.42,30786.5,55,False
5983,0xe0a3403367e20de85a07cbe58c3bc7d940ceced2,26842.42,12588.6,34,False
5984,0xfc41cc6bd6f61b034d2b59d2ad471f2fe3f7be2a,26840.29,12760.99,56,False
5985,0x51579a9153736d7b5ac5484f97b885b109aaecb8,26828.83,15933.27,48,False
5986,0xb5284cb4a5504070901132af34782da4342100c0,26821.14,8918.77,46,False
5987,0x070745c3768dafa9add42aa49337a4133779310a,26804.12,0,632,True
5988,0xe81bee540ef6cb5cfa8c6fc514bea4caced7ddc2,26802.08,12996.84,37,False
5989,0x0eb4865fa7cb526a6e1c940d6440fc574d248332,26795.61,11924.22,31,False
5990,0x3d3321f94b0735651e35b4082910d83864fe7043,26795.37,16617.96,37,False
5991,0x935e97720da338d0e46081c4edde2d016bc56a6b,26795.03,13215.26,24,False
5992,0xaa837551a5c47fecbcefe4969434bc26743fda7f,26786.19,16773.51,18,False
5993,0xf2f56e8bfe7a875bed2bbd5be93e2b74ae783905,26782.23,10291.99,44,False
5994,0x7749018c910ef3d4cbee806af7ea04a7d611f354,26778.38,24359.9,12,False
5995,0x96a83ecaddf1d1dd28a599b3397673e1f464b588,26776.99,15279.94,37,False
5996,0x6b771f615c7e7117d35b1bf33e4a3de6a937ee2c,26775.33,30713.23,5,False
5997,0x151932d0b12055e6a6a8c5f5f0cef65dad918dfb,26775.02,14067.31,92,False
5998,0x68e9b0b59bef02240287e196c30bb110e3bf363a,26773.19,10088.31,20,False
5999,0xe19acf5568797997d451edc5cd58a6ecc623abaf,26766.65,20103.77,344,False
6000,0xde4b4196e506a022dd13ec3676ae47c4bf9818b8,26758.6,9563.09,43,False
6001,0xbaf0e177f6aefab2aa07e5be68b884ccafaf6a3b,26756.7,15657.33,31,False
6002,0xf920b8af80227eff9b94c3096cdf6ec664b77d76,26753.73,3150.57,68,False
